编号,身高(cm),体重(kg),年龄,性别,原地跳跃成绩(cm),平均跳跃高度(cm),身体伸展幅度(°),成绩等级,俯卧撑成绩(个),平均速度(个/min),平均身体高度(cm),成绩等级,仰卧起坐成绩(个),平均速度(个/min),平均身体角度(°),成绩等级,单脚站立成绩(s),连续稳定时间(s),最大抬腿幅度(°),成绩等级,原地快跑成绩(个),最大速度(spm),平均速度(spm),成绩等级,立位体前屈成绩(°),左腿偏差角度(°),右腿偏差角度(°),成绩等级,高抬腿成绩(个),左腿平均角度(°),右腿平均角度(°),成绩等级,反应测试最快反应时间(s),击中率(%),击中个数(个),连击个数(个),未击中个数(个),失误个数(个),成绩等级,测试时间(s),测试完成度(%),超过测试人群(%),测试等级,整体肌肉,上肢肌肉,大腿肌肉,小腿肌肉,背部肌肉,胸部肌肉,腰腹肌肉,臀部肌肉,灵敏性,平衡感,协调性,速度,爆发力,反应时,速度变化(m/s),加速度变化(m/s2),左肩最大活动范围(°),右肩最大活动范围(°),躯干最大活动范围(°),左腿最大活动范围(°),右腿最大活动范围(°),核心耐力等级,上肢耐力等级,下肢耐力等级,重心向前变化,重心向右变化,左上肢稳定性变化,右上肢稳定性变化,左下肢稳定性变化,右下肢稳定性变化,左脚冲击力,右脚冲击力,滞空时间(s),简单反应时,辨别反应时,选择反应时,最快反应时间(s),最慢反应时间(s),平均反应时间(s),"左边关节最大冲击指数（肩, 肘, 髋, 膝, 踝）","右边关节最大冲击指数（肩, 肘, 髋, 膝, 踝）","左边关节平均冲击指数（肩, 肘, 髋, 膝, 踝）","右边关节平均冲击指数（肩, 肘, 髋, 膝, 踝）","左边关节损伤风险系数（肩, 肘, 髋, 膝, 踝）","右边关节损伤风险系数（肩, 肘, 髋, 膝, 踝）",总卡路里消耗(cal),右腿消耗(%),右臂消耗(%),左腿消耗(%),左臂消耗(%),胸部消耗(%),腰腹消耗(%)
1,180,75,15,男,50.2,42.336,85.37015,S,7,22.69216,0.4392974,D,14,30.17679,57.02324,D,29.08047,29.08047,72.46017,S,53,428.5715,281.9574,S,116.7,171.0717,167.9274,D,15,85.74313,85.42083,D,0.43,80%,12,6,0,3,S,408.745,100,55%,B,D,D,D,S,D,D,D,B,一般,优秀,优秀,优秀,优秀,优秀,"0,0,0,0,169.4706,143.4706,52.22451,271.7273,421.5715,297,290,368,298,366,328.3334,324.3334,326.3334,299,292,422.5715,323.3334,110,327.3334,99.00001,316.3334,298,166.6667,258.7273,156.8947,131.8947","13.39931,10.74408,10.74408,17.44322,32.96917,32.96917,22.03331,22.03331,40.3724,40.3724,62.78605,62.43951,62.43951,46.39229,46.39229,53.98983,53.98983,67.45866,67.45866,42.28596,42.28596,46.81736,51.17852,51.17852,42.55571,42.55571,30.06409,30.06409,50.36068,50.36068",179,179,117,98,98,D,D,D,"-1.711502,-0.9702911,-3.382591,-2.698402,-4.415947,-2.261314,-4.505295,-2.363373,-1.809334,-1.959526,0.1121063,0,0,0,0,0,0,0,0,0,0,0,0,0","-0.008010864,-12.71012,-10.86591,-10.07587,-9.855789,-10.39011,-10.12296,-9.856621,-9.962547,-11.88657,-10.67999,0,0,0,0,0,0,0,0,0,0,0,0,0","49.36618,95.76321,95.41005,94.86938,94.89525,92.73849,91.52669,90.95033,90.29757,89.45805,89.07796,88.47186,86.91494,80.68202,90.15319,90.08165,87.58379,88.13062,86.50186,85.88895,87.494,88.69145,87.79568,87.27001","57.2607,113.8498,111.9867,111.2468,110.8748,110.778,109.1992,108.5931,106.3476,108.6684,106.804,107.9869,108.2756,115.0223,110.5708,112.6685,113.41,112.0081,117.1779,118.7165,113.9137,113.9752,114.1033,114.9863","37.49908,81.63972,78.37668,77.59403,77.33742,74.98862,75.91738,74.73739,73.86214,74.34959,75.87302,74.33482,72.37477,70.03379,70.90619,70.29038,70.69569,71.2811,69.96893,69.72897,69.50587,70.06158,68.85645,68.13345","11.94177,10.64742,10.99812,10.48526,10.94389,13.04555,11.55086,11.11748,11.87674,11.68228,10.95885,12.03262,12.01169,14.02597,9.278763,11.39725,11.23174,10.62216,10.34608,10.99406,11.60936,10.84703,10.66756,11.26985",45.24371,42.50182,156.1346,优秀,中等,优秀,0.43,1.07,0.78,"5245.4,5396.3,5173.5,5513.9,5787.3","5358.6,5312.0,5173.5,5612.3,5700.8","11.2,11.5,11.0,11.8,12.3","11.4,11.3,11.0,12.0,12.2","524.5,539.6,517.3,551.4,578.7","535.9,531.2,517.3,561.2,570.1",164.4,20,10,20,10,20,20
2,177,65,16,男,56.6,48.314,92.9317,S,16,53.81473,0.5446734,C,19,38.98478,69.62337,C,21.4603,21.3403,63.58137,B,72,500,301.3602,S,115.7,169.9025,167.1723,D,29,88.59216,90.622,B,0.38,93%,14,14,1,0,S,300.7939,100,60%,B,C,C,B,S,D,C,C,A,良好,一般,良好,优秀,优秀,优秀,"0,0,272.7273,294,332.3334,326.3334,424.5715,291,372,366,269.7273,299,326.3334,289,249,267.7273,242,270.7273,326.3334,297,499,295,299,293,423.5715,243,298,267.7273,300,294","9.714906,9.714906,46.02474,46.02474,49.69974,54.82697,54.82697,39.05399,39.05399,65.72305,65.72305,58.54602,53.18988,53.18988,37.39013,37.39013,50.6833,50.6833,58.27602,40.57516,40.57516,51.73518,51.73518,39.87158,39.87158,51.79124,39.45145,39.45145,40.52402,40.52402",160,157,116,102,107,C,C,B,"-5.662155,-4.267014,-7.124527,-6.009407,-3.058952,-0.4507751,-0.4069214,2.046539,1.212227,-11.01979,0.4706039,0,0,0,0,0,0,0,0,0,0,0,0,0","-2.281975,-5.744881,-9.358665,-7.876579,-7.58107,-14.45898,-11.10559,-24.35951,-9.844147,2.67366,-10.30621,0,0,0,0,0,0,0,0,0,0,0,0,0","84.28667,83.59805,85.43906,85.84563,81.01079,83.66586,82.85598,82.46154,82.87078,89.54945,88.33674,100.6973,93.97195,83.57851,32.70993,83.92284,90.9066,0,0,0,0,0,0,0","93.13575,94.60812,94.03851,94.10008,99.9774,99.55547,99.76727,103.3055,103.7159,99.84232,99.9553,89.04147,100.2571,104.7734,115.6069,100.0764,99.37984,0,0,0,0,0,0,0","66.77388,67.41063,65.58459,68.2636,59.69426,58.46506,57.63287,51.45705,53.04257,67.96594,69.03526,65.48339,58.79361,56.93549,63.76212,53.90936,57.55111,0,0,0,0,0,0,0","9.72258,8.855698,5.354736,7.449692,10.34227,12.242,9.912476,10.38689,14.07025,10.20621,9.054413,9.941574,10.9185,10.85254,14.19476,12.44621,11.18562,0,0,0,0,0,0,0",41.37065,42.70284,229.975,良好,优秀,优秀,0.38,0.92,0.61,"4083.8,4427.4,3797.6,4165.0,4410.6","4224.5,4616.8,3797.6,4292.7,4310.7","11.7,12.7,10.9,11.9,12.6","12.1,13.2,10.9,12.3,12.4","408.4,442.7,379.8,416.5,441.1","422.5,461.7,379.8,429.3,431.1",201.8,18,11,18,11,21,21
3,175,62,15,男,47.1,44.13266,109.3631,S,17,53.7775,0.5119112,C,18,43.06364,63.53228,C,29.9805,29.9805,59.14146,S,62,428.5715,309.7041,S,127.4,164.9133,166.9772,D,23,93.84673,100.2552,C,0.49,100%,15,15,0,0,S,344.5562,100,62%,B,C,C,C,S,D,C,C,B,一般,优秀,优秀,优秀,优秀,优秀,"0,0,58.50002,233,296,374,366,325.3334,295,329.3334,323.3334,366,369,298,292,370,328.3334,329.3334,333.3334,294,262.7273,103.1111,328.3334,329.3334,290,324.3334,362,80.0811,55.0811,29.0811","9.972848,10.61163,10.61163,51.87029,51.87029,31.53753,62.08883,62.08883,20.49344,20.49344,34.46135,57.41864,57.41864,27.00927,27.00927,17.54412,57.98485,57.98485,46.83376,46.83376,39.50383,39.50383,50.56414,61.89799,61.89799,53.32182,53.32182,40.45438,40.45438,30.45207",146,129,127,114,122,C,C,C,"3.094368,2.46003,1.386208,3.210266,4.570496,3.781631,1.564224,3.632301,5.751282,4.689445,4.467422,0,0,0,0,0,0,0,0,0,0,0,0,0","-4.975471,-5.636536,-6.886185,-7.281288,-7.343208,-8.019562,-7.324287,-8.033386,-6.796516,-6.812912,-7.390167,0,0,0,0,0,0,0,0,0,0,0,0,0","46.61804,76.13969,71.30043,70.29576,73.05295,72.16725,73.58144,71.75581,71.43034,70.71636,70.235,70.1783,69.47938,68.31297,67.01868,67.81108,68.1825,68.49516,50.19839,45.65808,72.79225,74.64382,73.70012,73.2574","11.97752,79.38406,80.16856,78.9155,79.4705,79.70933,79.24659,78.92997,77.653,77.21779,75.2746,75.47147,76.19213,75.99961,76.20957,75.54819,73.74138,72.71138,75.58814,75.31927,78.20253,76.34499,74.67443,79.38594","8.296097,59.81535,54.66463,63.08228,65.41357,58.71633,58.63084,58.66353,58.46066,57.89088,59.27784,57.96584,62.96227,60.53991,59.87067,57.93952,57.33262,55.54916,59.41432,55.11834,55.63744,56.35489,57.60149,57.22773","6.740143,6.608978,6.21521,6.943939,6.579147,6.428436,5.734299,6.205383,5.766937,6.829041,6.072205,5.495361,5.701477,7.402023,8.219162,6.89122,7.03392,6.204407,9.25795,9.203598,8.124939,7.822708,8.804596,7.743546",52.91147,49.12918,159.3849,优秀,优秀,优秀,0.49,0.9,0.7,"4289.9,4483.5,4312.1,4742.4,4759.5","4342.7,4329.2,4312.1,4912.0,4934.2","10.7,11.2,10.7,11.8,11.8","10.8,10.8,10.7,12.2,12.3","429.0,448.3,431.2,474.2,475.9","434.3,432.9,431.2,491.2,493.4",174.3,17,11,17,11,22,22
4,160,50,13,女,30.6,26.754,65.4827,A,13,40.42693,0.5199206,C,14,30.15064,77.89932,C,29.66049,29.66049,54.32994,S,24,115.3846,97.8866,B,104.9,173.7517,170.6669,E,15,86.01999,94.35085,C,0.48,93%,14,8,0,1,A,317.8044,100,51%,C,C,C,C,B,E,C,C,B,中等,优秀,良好,一般,良好,良好,"0,0,74.75001,85.00001,95.14286,98.14286,96.00001,71.00001,73.7742,82.00001,78.23531,106.3846,81.38461,50.54548,103.4483,77.44828,84.14286,82.00001,82.75001,91.7742,66.7742,72.7742,81.00001,83.7742,97.14286,91.7742,66.7742,72.7742,76.75001,90.44828","9.685272,23.90508,23.90508,42.57718,42.57718,47.37947,41.50339,41.50339,11.83942,11.83942,17.70519,17.70519,49.27595,41.13423,41.13423,18.53224,18.53224,30.71084,30.71084,37.7705,51.45906,51.45906,9.324987,9.324987,20.52348,20.52348,18.82957,16.16291,16.16291,14.28524",141,143,105,99,110,C,C,C,"0.07048798,1.114548,1.846588,2.129204,4.446892,2.248177,3.505638,4.329514,4.319504,4.446396,5.383316,0,0,0,0,0,0,0,0,0,0,0,0,0","-3.721245,-7.063759,-7.234741,-6.840836,-7.568718,-8.44857,-8.725853,-9.415413,-9.320831,-9.13382,-11.09164,0,0,0,0,0,0,0,0,0,0,0,0,0","71.19547,64.51203,73.53868,74.57603,74.8026,74.30614,74.13699,74.49817,74.58907,74.00964,73.3448,72.28304,72.05756,71.96445,72.01221,71.36454,70.89031,70.86582,70.62496,68.75846,70.61461,69.82807,69.37897,67.31187","61.5309,77.09965,79.81818,79.38753,78.23083,78.23906,78.32892,78.3486,78.02451,78.35892,78.53154,78.78571,78.73418,78.61758,78.78864,79.00921,78.68797,78.96969,78.56757,79.22166,78.50651,78.38275,78.99905,80.70774","13.90138,57.29775,59.52148,59.23697,58.40859,57.9006,57.11224,57.37546,56.612,54.63792,53.43415,53.3491,51.94136,52.57305,53.19244,52.73586,50.63586,49.66946,49.55612,51.34019,51.40804,50.61499,50.86691,46.71902","3.214615,6.07399,5.846329,6.356598,6.237503,6.780029,6.695648,7.58493,8.575378,8.139435,7.163635,7.617599,7.373306,6.926498,7.017685,8.265335,7.652054,8.001999,7.697678,7.419342,8.647141,7.913239,8.856064,9.381393",52.33098,51.90519,174.7236,优秀,良好,优秀,0.48,1.03,0.71,"4064.8,4011.8,4011.9,4037.1,3856.1","3972.4,4026.5,4011.9,4052.2,4084.8","11.0,10.9,10.9,10.9,10.5","10.8,10.9,10.9,11.0,11.1","406.5,401.2,401.2,403.7,385.6","397.2,402.7,401.2,405.2,408.5",93.7,14,12,14,12,24,24
5,165,52,14,男,53.4,40.73533,85.2067,S,11,39.85672,0.5835209,D,17,44.60629,75.49586,C,27.32043,27.32043,77.74405,A,25,500,253.5865,C,120.7,155.5594,156.7884,D,18,91.68001,84.28976,C,0.22,87%,13,6,1,1,S,359.3898,100,51%,C,D,D,C,C,D,D,C,B,中等,良好,良好,中等,优秀,优秀,"0,494,114,327.3334,368,428.5715,327.3334,302.3334,63.33335,38.33335,13.33335,0,0,323.3334,297.3334,272.3334,26.85717,104,78.99998,44.22451,19.22451,0,0,0,0,0,0,1.705893,190.2857,66.00002","9.69685,14.28108,55.01955,55.01955,54.98306,54.98306,21.913,21.913,14.62114,51.59114,51.59114,15.94526,15.94526,43.61976,43.61976,61.99688,39.25932,39.25932,39.868,39.868,59.08598,59.08598,27.00776,19.03,19.03,61.5466,61.5466,58.97014,58.97014,17.40087",140,151,121,103,93,D,C,C,"-7.637924,-9.212852,-10.37048,-12.11241,-10.16643,-10.47247,-10.73831,-11.15447,-11.10416,-9.888222,-11.17668,0,0,0,0,0,0,0,0,0,0,0,0,0","-1.657524,-0.01603699,-6.437187,-4.856941,-4.531631,-3.131638,-3.208549,-2.371407,-2.48806,-3.048454,-2.581123,0,0,0,0,0,0,0,0,0,0,0,0,0","36.5593,31.28844,32.03558,95.81828,95.20161,94.92069,94.93237,94.95034,94.8941,95.7612,95.14174,94.88795,94.67004,94.09877,94.02808,93.99132,94.16728,93.84022,90.02234,93.33999,93.49109,93.50539,93.61987,92.273","5.37027,7.764709,8.844635,101.8908,102.4434,102.8891,102.7083,105.4407,104.4401,104.447,103.3993,103.1815,102.7392,103.4161,103.4103,103.7193,102.0491,102.0748,101.0913,101.7845,100.3295,99.33382,101.6824,101.4366","9.32196,7.322708,7.244522,76.75537,79.35448,81.7691,81.66871,84.12186,83.36015,81.58923,81.89304,81.62462,81.81919,81.50763,79.93108,79.57314,81.23411,79.34686,81.70533,87.03084,85.44802,84.729,89.2934,89.18413","8.637085,8.27446,8.741638,13.28572,13.8835,14.16777,14.31325,13.74438,13.74553,13.2869,14.25034,14.87338,14.83093,13.87846,13.31752,13.79749,14.47832,14.19678,14.18544,13.97528,14.04553,13.99335,13.81859,14.51094",41.97917,40.06712,212.6711,良好,良好,优秀,0.22,0.95,0.67,"4648.6,4817.0,4691.5,5024.6,4986.0","4693.3,4802.9,4691.5,5061.8,4986.8","11.1,11.5,11.2,12.0,11.9","11.2,11.5,11.2,12.1,11.9","464.9,481.7,469.2,502.5,498.6","469.3,480.3,469.2,506.2,498.7",118.7,15,10,15,10,20,30
6,171,55,13,女,41.2,35.05133,112.93,S,17,52.76745,0.4832048,B,21,47.54607,66.61159,B,12.02009,12.02009,84.53877,C,53,300,221.7259,S,111.9,163.3147,161.5457,E,29,92.31734,91.9732,A,0.38,93%,14,9,0,1,S,361.0706,100,62%,B,B,B,A,S,E,B,B,A,良好,中等,一般,优秀,优秀,优秀,"0,0,127.4348,165.4706,238,238,269.7273,156.6667,288,197,245,243,210.2857,211.2857,255.7273,224.7693,266.7273,244,185.5,160.5,163.6667,187,180.5,222.7693,195,212.2857,214.2857,271.7273,189,180.5","10.40739,9.797836,18.52193,18.52193,54.22845,54.22845,59.14322,34.32027,34.32027,27.92035,27.92035,63.16767,44.98216,44.98216,47.6722,47.6722,29.19798,29.19798,52.92374,34.56985,34.56985,24.65422,24.65422,55.44848,55.44848,60.56612,24.9281,24.9281,44.53377,44.53377",144,140,112,109,109,B,B,A,"1.433578,4.14785,3.805222,3.856003,4.881653,3.780968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3.603889,7.178589,5.266602,5.781136,11.42628,10.64029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","70.45553,86.45303,84.82404,88.01926,87.80572,87.55608,86.57005,92.22087,92.55295,95.19987,0,0,0,0,0,0,0,0,0,0,0,0,0,0","54.50902,73.38233,72.67818,76.32278,74.93203,73.66352,72.75945,71.44267,74.27907,72.47635,0,0,0,0,0,0,0,0,0,0,0,0,0,0","9.843094,9.576019,7.842896,6.839539,5.537781,5.136108,5.361191,7.348679,5.904327,9.827698,0,0,0,0,0,0,0,0,0,0,0,0,0,0","26.09354,87.11076,86.60347,88.21122,87.22083,86.28893,85.70547,85.61736,85.32107,83.64863,0,0,0,0,0,0,0,0,0,0,0,0,0,0",46.46088,25.40487,212.3527,优秀,良好,优秀,0.38,1.03,0.63,"4572.4,4725.8,4372.3,4816.8,5077.2","4543.9,4536.4,4372.3,4755.6,4911.5","10.9,11.2,10.4,11.4,12.1","10.8,10.8,10.4,11.3,11.7","457.2,472.6,437.2,481.7,507.7","454.4,453.6,437.2,475.6,491.2",162,16,11,16,11,23,23
7,165,59,12,女,33.1,30.723,76.40371,S,14,49.02055,0.5603564,B,18,37.24944,70.01665,B,6.179995,6.119995,72.52808,D,20,300,154.8068,B,131,169.5679,166.2496,D,25,79.09083,79.38129,A,0.38,93%,14,5,0,1,S,337.0453,100,58%,B,B,B,A,B,D,B,B,A,一般,较差,一般,一般,优秀,优秀,"0,0,69.7143,204.2857,208.2857,210.2857,199,266.7273,241.7273,216.7273,191.7273,166.7273,141.7273,172.4706,147.8947,122.8947,50.50002,25.50002,47.82355,22.82355,0,23.87502,0,0,0,0,0,14.54387,0,56.60379","9.785775,9.76212,22.65016,22.65016,52.04079,45.64004,45.64004,26.85151,26.85151,59.31796,24.78056,24.78056,43.25585,43.25585,12.87819,12.87819,18.81044,47.39874,47.39874,44.42138,44.42138,50.99207,17.48322,17.48322,49.65606,49.65606,56.40952,56.40952,23.08629,37.3821",149,145,131,105,102,B,B,A,"-1.151718,-2.000374,-4.166252,0.3865356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","-1.287674,2.988197,3.135498,6.689659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","29.16985,58.62753,80.98121,80.61096,80.55111,80.09093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","23.73154,52.21102,81.92953,81.81297,82.4854,85.23457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","6.697906,8.773956,7.014923,5.894684,6.03566,5.098114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","7.336197,39.54236,78.07473,70.42055,63.58012,60.08005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",40.46628,41.01578,194.1861,优秀,良好,优秀,0.38,0.88,0.67,"4182.0,4278.1,4065.3,4465.6,4584.2","4211.5,4402.2,4065.3,4395.8,4562.6","10.6,10.9,10.3,11.4,11.7","10.7,11.2,10.3,11.2,11.6","418.2,427.8,406.5,446.6,458.4","421.2,440.2,406.5,439.6,456.3",123.8,14,12,14,12,24,24
8,158,41,11,女,41.2,36.68467,110.3822,S,13,44.0719,0.5612364,B,24,50.17834,71.14896,A,28.58046,28.58046,81.21893,S,71,500,299.9197,S,113.9,158.2505,163.0362,E,25,82.01729,75.70724,A,0.47,87%,13,6,1,1,A,357.3601,100,69%,B,B,B,A,S,E,B,A,A,良好,优秀,良好,优秀,优秀,良好,"0,230.7693,491,181.5,368,299,268.7273,333.3334,366,296,293,368,300,368,300,269.7273,225.7693,424.5715,293,424.5715,323.3334,298,268.7273,291,239,371,129.3636,299,327.3334,293","19.04209,12.75334,12.75334,14.5006,14.5006,30.07933,18.02237,18.02237,19.8455,19.8455,23.63947,23.63947,15.88527,18.80168,18.80168,19.20596,19.20596,50.0292,50.0292,22.08365,40.82595,40.82595,41.7625,41.7625,32.45555,19.93664,19.93664,39.54997,39.54997,18.74608",139,137,114,125,100,B,A,A,"2.787704,-2.658806,-5.875137,-3.505196,-2.382553,-4.020897,-3.316437,-4.888016,-4.379501,-7.01329,-7.946297,0,0,0,0,0,0,0,0,0,0,0,0,0","-2.509079,-5.051628,-1.960236,-5.120605,-3.523743,-4.34539,-4.604065,-3.364151,-5.301308,-5.245766,-4.581718,0,0,0,0,0,0,0,0,0,0,0,0,0","28.11015,15.86723,88.09913,90.09075,86.74435,84.43627,85.493,85.68187,85.0345,84.80444,85.66918,87.20837,87.09489,85.41903,85.92673,85.57565,85.96494,86.1144,86.79318,83.55597,82.15428,83.5962,83.70229,82.45219","3.467407,6.719421,94.60587,89.87003,95.46371,92.94884,94.02592,92.60868,92.65958,93.25826,91.95392,90.74673,90.63477,93.75794,93.18652,93.19778,91.40975,91.71632,90.70327,94.88785,97.66651,94.91406,96.92462,102.0374","13.8401,14.00835,85.25507,89.66618,75.30478,79.01733,76.60324,78.76723,82.01528,81.49156,82.33889,81.51328,79.81207,83.01722,80.68001,82.08527,82.07082,80.55225,79.7281,79.3454,75.81146,80.96561,79.52531,71.52934","19.63156,1.433945,7.99205,9.384644,17.88728,13.21872,11.15903,9.940903,11.21675,11.93538,10.81181,11.18645,11.19632,11.59192,12.53238,12.06335,11.65976,12.33817,12.59726,12.97545,15.78403,12.03226,10.90686,19.60925",45.00376,43.73693,198.9094,优秀,一般,优秀,0.47,1.03,0.78,"4564.9,4646.4,4362.0,4505.1,4644.3","4419.3,4631.5,4362.0,4667.6,4720.6","10.9,11.1,10.5,10.8,11.1","10.6,11.1,10.5,11.2,11.3","456.5,464.6,436.2,450.5,464.4","441.9,463.1,436.2,466.8,472.1",157.6,15,11,15,11,22,26
9,160,40,12,男,35.7,31.71934,112.5906,A,11,54.01432,0.5529968,C,16,33.94233,66.81964,C,6.519995,6.519995,92.93725,D,45,428.5715,214.4634,S,124.8,168.7423,171.3595,D,27,82.90707,83.86895,A,0.41,80%,12,8,2,1,A,355.6934,100,53%,C,C,C,A,S,D,C,C,A,良好,较差,中等,优秀,良好,良好,"0,0,0,211.2857,226.7693,243,267.7273,294,269,58.17075,136.8947,111.8947,41.85717,16.85717,261.7273,240,289,205.2857,208.2857,231,225.7693,199,236,191,196,186,203.2857,194,175.4706,189","9.714248,9.759482,9.759482,47.34233,41.81292,41.81292,58.51022,58.51022,33.78132,33.78132,36.49256,38.72176,38.72176,17.71248,17.71248,41.95302,54.1636,54.1636,49.04291,49.04291,43.0927,43.0927,37.52063,28.85763,28.85763,36.38347,36.38347,22.61267,22.61267,34.38934",133,147,125,107,111,C,C,A,"-1.684959,-3.626282,-5.623528,-1.288498,-5.484764,-5.317352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","-6.968262,-7.732552,-6.709244,-8.333672,-5.591591,-14.72107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","85.55492,84.37904,84.54842,82.37048,87.04317,93.7677,93.8007,93.63145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","99.20377,99.4139,99.66277,100.3551,92.65285,101.4383,102.183,100.7135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","101.1515,98.62727,98.98534,100.5513,99.02521,106.4332,104.6247,105.3249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","9.645325,10.86691,11.41769,11.15756,10.64209,10.09409,9.768936,9.877167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",37.95296,41.87976,185.9182,良好,一般,优秀,0.41,0.8,0.68,"4796.9,5220.2,4328.5,4537.4,4975.3","4868.5,5212.4,4328.5,4653.6,4801.1","11.6,12.6,10.5,11.0,12.0","11.8,12.6,10.5,11.3,11.6","479.7,522.0,432.8,453.7,497.5","486.9,521.2,432.8,465.4,480.1",112.5,19,10,19,10,21,21
10,160,50,13,男,50.2,40.67,123.7208,S,15,47.75095,0.5054318,C,21,45.59333,70.27621,B,19.86026,8.199998,73.57639,C,39,187.5,162.3419,A,120.8,166.9895,165.0916,D,24,100.6373,103.1354,B,0.38,73%,11,1,1,3,A,320.3506,100,55%,B,C,C,B,A,D,C,B,A,一般,中等,一般,良好,优秀,良好,"0,0,0,148,136.8571,153.6667,132,146,155.6667,165.6667,150.8947,161.4706,161.6667,139,148.6667,160.6667,127.3636,142.8947,159.6667,152.6667,153.8947,173.5,162.6667,164.4706,164.6667,149.8947,143.8947,174.4706,176.5,176.4706","9.706457,9.706457,9.631661,14.24588,14.24588,55.46552,55.46552,32.4647,53.03995,53.03995,12.31233,12.31233,66.91988,66.91988,40.16113,40.16113,32.95036,32.95036,15.84516,15.84516,56.79335,56.79335,21.99829,21.99829,43.22226,20.19813,20.19813,16.80388,16.80388,46.05288",137,133,121,126,128,C,B,B,"2.559334,5.06192,1.845345,-0.7644196,-3.485519,-0.9488297,2.31916,11.6738,9.61805,-1.828537,-6.685204,0,0,0,0,0,0,0,0,0,0,0,0,0","-0.420639,-7.071213,-7.233635,-12.43301,-12.57121,-15.33226,-14.40521,-19.78486,-23.83916,-8.306107,-6.267128,0,0,0,0,0,0,0,0,0,0,0,0,0","19.54515,24.4744,30.97279,30.85275,73.76366,63.5409,64.47583,66.51967,64.92484,66.0025,64.96266,69.86435,76.60369,74.94244,52.46271,52.45168,49.80565,55.1144,56.91265,56.64125,55.67408,31.75827,70.66791,68.49575","10.39075,23.91629,43.07109,45.82986,92.37772,85.96375,85.57092,83.18208,82.94731,83.75783,84.32603,86.911,86.23625,78.04235,75.86729,69.79499,68.46582,68.73055,69.1376,68.80186,71.32958,101.3904,89.45619,85.35282","11.7795,10.71841,28.40747,27.24396,28.12483,79.32471,81.13424,79.63536,76.15333,73.11314,68.58183,62.09757,54.03259,51.6714,33.27582,35.52614,82.80205,81.15755,77.43176,74.86456,69.45995,45.00262,49.95695,60.66096","13.31947,11.20561,11.09058,10.57454,10.98845,12.40581,11.22374,10.86874,11.4769,11.98192,12.75443,13.15465,19.13219,20.86662,19.00525,14.21649,14.37154,13.46815,13.38684,13.50261,13.3775,16.87256,15.05005,15.72922",41.79562,45.77117,222.4854,良好,一般,良好,0.38,0.9,0.65,"3896.4,4070.7,3726.3,3897.9,4031.0","3814.3,4003.7,3726.3,4148.1,4156.2","11.2,11.7,10.7,11.2,11.6","11.0,11.5,10.7,12.0,12.0","389.6,407.1,372.6,389.8,403.1","381.4,400.4,372.6,414.8,415.6",144,16,10,16,10,21,27
