编号,身高(cm),体重(kg),年龄,性别,原地快跑成绩(个),最大速度(spm),平均速度(spm),成绩等级
1,180,75,15,男,53,428.5715,281.9574,S
2,177,65,16,男,72,500,301.3602,S
3,175,62,15,男,62,428.5715,309.7041,S
4,160,50,13,女,24,115.3846,97.8866,B
5,165,52,14,男,25,500,253.5865,C
6,171,55,13,女,53,300,221.7259,S
7,165,59,12,女,20,300,154.8068,B
8,158,41,11,女,71,500,299.9197,S
9,160,40,12,男,45,428.5715,214.4634,S
10,160,50,13,男,39,187.5,162.3419,A
11,146,33,10,男,36,176.4706,145.8001,A
12,168,44,11,女,46,230.7693,188.5117,S
13,146,34,10,女,55,333.3334,225.3406,S
14,145,65,10,男,57,375,250.0049,S
15,142,37,10,男,60,600.0001,308.5167,S
