编号,身高(cm),体重(kg),年龄,性别,测试等级,整体肌肉,上肢肌肉,大腿肌肉,小腿肌肉,背部肌肉,胸部肌肉,腰腹肌肉,臀部肌肉,灵敏性,平衡感,协调性,速度,爆发力,反应时
1,180,75,15,男,B,D,D,D,S,D,D,D,B,一般,优秀,优秀,优秀,优秀,优秀
2,177,65,16,男,B,C,C,B,S,D,C,C,A,良好,一般,良好,优秀,优秀,优秀
3,175,62,15,男,B,C,C,C,S,D,C,C,B,一般,优秀,优秀,优秀,优秀,优秀
4,160,50,13,女,C,C,C,C,B,E,C,C,B,中等,优秀,良好,一般,良好,良好
5,165,52,14,男,C,D,D,C,C,D,D,C,B,中等,良好,良好,中等,优秀,优秀
6,171,55,13,女,B,B,B,A,S,E,B,B,A,良好,中等,一般,优秀,优秀,优秀
7,165,59,12,女,B,B,B,A,B,D,B,B,A,一般,较差,一般,一般,优秀,优秀
8,158,41,11,女,B,B,B,A,S,E,B,A,A,良好,优秀,良好,优秀,优秀,良好
9,160,40,12,男,C,C,C,A,S,D,C,C,A,良好,较差,中等,优秀,良好,良好
10,160,50,13,男,B,C,C,B,A,D,C,B,A,一般,中等,一般,良好,优秀,良好
11,146,33,10,男,B,C,D,B,A,C,D,C,B,一般,优秀,良好,良好,良好,一般
12,168,44,11,女,B,C,E,A,S,C,E,B,A,良好,中等,一般,优秀,优秀,优秀
13,146,34,10,女,B,B,C,S,S,D,C,C,S,优秀,优秀,良好,优秀,优秀,良好
14,145,65,10,男,B,C,D,A,S,D,D,B,A,良好,中等,一般,优秀,优秀,优秀
15,142,37,10,男,C,C,D,B,S,C,D,B,B,良好,较差,中等,优秀,良好,一般
